RegionName,State,Metro,CountyName,SizeRank,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,AVERAGE,,Metro,Average
Albertville,AL,Albertville,Marshall,1734,121200,119900,129000,129900,129500,124900,123450,126450,129900,127900,124900,119900,125575,,Boston,513262.9372
Arab,AL,Albertville,Marshall,3395,149125,146900,139800,139000,134900,133500,130000,129900,129900,129950,130000,129700,135222.9167,,Boulder,541965.0333
Boaz,AL,Albertville,Marshall,5200,106450,99850,99500,99700,109500,109500,107250,121200,129900,109500,104750,109500,108883.3333,,Bowling Green,188956.25
Guntersville,AL,Albertville,Marshall,3714,224900,215000,214900,229900,224900,249900,239900,252450,249000,249900,250000,262100,238570.8333,,Bozeman,400428.6833
Albuquerque,NM,Albuquerque,Bernalillo,32,196945,198150,204900,205000,210000,215900,215000,215000,215000,215000,205000,202190,208173.75,,Bradford,127716.6667
Belen,NM,Albuquerque,Valencia,2598,124350,125000,125000,125900,124000,122000,125000,125000,128000,119950,108950,109000,121845.8333,,Brainerd,267170.4861
Bernalillo,NM,Albuquerque,Sandoval,4128,275000,275000,275000,269500,275000,275000,279900,270000,269950,263000,249950,258000,269608.3333,,Branson,166482.4107
Corrales,NM,Albuquerque,Sandoval,5564,4.00E+05,4.00E+05,448400,450000,462500,479450,485000,499999,495000,490000,499000,490000,466612.4167,,Breckenridge,581329.1667
Jemez Springs,NM,Albuquerque,Sandoval,6942,215000,225000,225000,247000,245000,236000,237000,233000,222250,222250,215500,205000,227333.3333,,Bremerton,388503.3833
Los Lunas,NM,Albuquerque,Valencia,1215,154950,156950,159900,159900,157900,153900,154900,155000,155000,159000,150000,149900,155608.3333,,Brenham,254535.2917
Los Ranchos de Albuquerque,NM,Albuquerque,Bernalillo,6054,849000,698000,699900,777000,699950,699950,730000,729000,749000,729000,692500,680000,727775,,Brevard,383203.4583
Placitas,NM,Albuquerque,Sandoval,5766,397450,420000,429950,429900,435000,437000,429000,427000,429900,443900,430000,434000,428591.6667,,Brookings,297105.8333
Rio Rancho,NM,Albuquerque,Sandoval,479,207000,199900,210000,215362.5,220000,219945,221900,225000,222245,229000,215945,214900,216766.4583,,Brownsville,191951.5476
Sandia Park,NM,Albuquerque,Bernalillo,6110,444450,449500,449000,449000,447000,439900,446500,432500,449000,449000,427450,434450,443145.8333,,Brownwood,132768.0556
South Valley,NM,Albuquerque,Bernalillo,1389,149000,165000,159450,159900,159900,154900,159500,150000,160000,154900,150000,155000,156462.5,,Brunswick,645952.7083
Tijeras,NM,Albuquerque,Bernalillo,5108,286500,288000,285000,290000,295000,295000,290000,289450,292050,320000,285500,289500,292166.6667,,Bucyrus,68069.44444
Alexandria,LA,Alexandria,Rapides,760,145000,145000,154500,163000,164000,165000,172900,169000,174500,176000,182450,175500,165570.8333,,Buffalo,181814.2402
Alexandria,MN,Alexandria,Douglas,4318,159900,169000,174900,177000,179000,179000,181400,182900,179900,189900,184450,189000,178862.5,,Burley,186620.8333
Pineville,LA,Alexandria,Rapides,1694,156500,165500,169999.5,169999.5,179400,179900,179900,179900,182500,189900,188900,187900,177524.9167,,Burlington,226046.8988
Alice,TX,Alice,Jim Wells,1602,,,,149900,149200,149900,147450,136000,139000,117450,115000,129700,137066.6667,,Butte,136604.1667
Allen Township,PA,Allentown,Northampton,5670,245000,245000,245000,239000,244700,247450,247450,239000,241950,232450,250000,250000,243916.6667,,Cadillac,101768.0278
Allentown,PA,Allentown,Lehigh,248,104900,109900,110000,110000,109999,109900,109900,110500,110000,109900,99950,99900,107904.0833,,Calhoun,148912.5
Bangor,PA,Allentown,Northampton,5383,,100450,107400,99900,114900,116000,108950,106200,104800,114000,109900,108900,108309.0909,,California-Lexington Park,299471.4139
Belvidere,NJ,Allentown,Warren,5478,169750,164900,176900,176900,170999.5,170950,172000,160000,163450,159900,154950,154700,166283.2917,,Cambridge,180954.4375
Bethlehem,PA,Allentown,Northampton,512,146950,149900,151000,159900,155000,150000,154900,154900,150000,149900,144900,140000,150612.5,,Campbellsville,140625
Bethlehem Township,PA,Allentown,Northampton,383,339000,319947.5,339900,319995,306900,293900,302450,299900,289500,291900,291900,309900,308766.0417,,Canon City,220779.875
Blairstown,NJ,Allentown,Warren,5514,325000,325000,325000,315000,299900,299700,314900,319000,299400,299000,299000,287000,308991.6667,,Canton,124834.5035
Easton,PA,Allentown,Northampton,1802,89900,86900,89900,99449.5,99900,109925,119000,109900,110000,115000,109900,109000,104064.5417,,Cape Cod,524286.4083
Emmaus,PA,Allentown,Lehigh,3817,167000,174900,179900,182450,187000,177250,163450,165000,169900,171200,172900,166900,173154.1667,,Cape Girardeau,153936.4583
Forks Township,PA,Allentown,Northampton,2977,,,280000,274000,267450,264900,268000,264949.5,268950,268950,269900,285000,271209.95,,Carbondale,115410.8333
Franklin Township,NJ,Allentown,Warren,6119,,,319900,349900,359900,347400,344900,339000,334950,330000,344950,350000,342090,,Carlsbad,165965.625
Fullerton,PA,Allentown,Lehigh,3539,169900,169900,165000,159900,159900,161500,159900,162000,164900,169450,170000,168900,165104.1667,,Carson City,291358.3333
