area,bike_score,city,housing_cost,lat,lon,max_temp,min_temp,pop,pop_density,precipitation,rpp,state,transit_score,walk_score,wiki_url
77.4sqmi,37,Cincinnati,150900.0,39.1402,-84.5058,63.9,44.9,"298,800","3,860/sqmi",42.52,89.2,Ohio,43.2,50.4,https://wikipedia.org/wiki/Cincinnati
"1,706.6sqmi",--,Anchorage,398800.0,61.1743,-149.2843,46.1,32.4,"298,192",175/sqmi,16.98,109.4,Alaska,22.3,32.0,"https://wikipedia.org/wiki/Anchorage,_Alaska"
104.7sqmi,51.6,Henderson,251500.0,36.0097,-115.0357,76.0,53.4,"292,969","2,798/sqmi",49.36,84.4,Nevada,22.1,29.6,"https://wikipedia.org/wiki/Henderson,_Nevada"
128.3sqmi,39.6,Greensboro,148500.0,36.0951,-79.8270,69.2,49.1,"287,027","2,237/sqmi",42.2,90.0,North Carolina,--,29.1,"https://wikipedia.org/wiki/Greensboro,_North_Carolina"
71.7sqmi,57,Plano,300000.0,33.0508,-96.7479,75.6,52.8,"286,057","3,990/sqmi",40.04,92.4,Texas,17.4,38.9,"https://wikipedia.org/wiki/Plano,_Texas"
24.1sqmi,51.1,Newark,739600.0,40.7242,-74.1726,61.7,40.4,"281,764","11,691/sqmi",39.95,112.1,New Jersey,64.9,80.4,"https://wikipedia.org/wiki/Newark,_New_Jersey"
92.1sqmi,62.3,Lincoln,396200.0,40.8105,-96.6803,62.2,39.8,"280,364","3,044/sqmi",29.25,92.8,Nebraska,--,42.7,"https://wikipedia.org/wiki/Lincoln,_Nebraska"
80.7sqmi,44.7,Toledo,63100.0,41.6641,-83.5819,60.0,40.7,"278,508","3,451/sqmi",34.24,89.2,Ohio,--,45.9,"https://wikipedia.org/wiki/Toledo,_Ohio"
105.2sqmi,53,Orlando,223600.0,28.4166,-81.2736,82.4,64.2,"277,173","2,635/sqmi",53.17,85.8,Florida,32.5,42.1,"https://wikipedia.org/wiki/Orlando,_Florida"
49.6sqmi,45.8,Chula Vista,454800.0,32.6277,-117.0152,75.5,44.7,"267,172","5,387/sqmi",17.87,87.7,California,35.5,42.3,"https://wikipedia.org/wiki/Chula_Vista,_California"
65.6sqmi,69.7,Irvine,773700.0,33.6784,-117.7713,76.6,56.6,"266,122","4,057/sqmi",37.35,81.9,California,27.4,43.5,"https://wikipedia.org/wiki/Irvine,_California"
110.6sqmi,42.6,Fort Wayne,210800.0,41.0882,-85.1439,60.3,40.6,"264,488","2,391/sqmi",38.34,90.1,Indiana,21.7,29.5,"https://wikipedia.org/wiki/Fort_Wayne,_Indiana"
14.8sqmi,66.3,Jersey City,254900.0,40.7114,-74.0648,63.3,45.5,"264,152","17,848/sqmi",47.62,82.4,New Jersey,70,87.3,"https://wikipedia.org/wiki/Jersey_City,_New_Jersey"
109.8sqmi,39.2,Durham,280200.0,35.9811,-78.9029,71.7,50.3,"263,016","2,395/sqmi",44.46,95.3,North Carolina,27.3,29.1,"https://wikipedia.org/wiki/Durham,_North_Carolina"
61.8sqmi,56.1,St. Petersburg,191400.0,27.7620,-82.6441,81.6,66.8,"260,999","4,223/sqmi",50.81,100.7,Florida,34.7,43.4,"https://wikipedia.org/wiki/St._Petersburg,_Florida"
101.1sqmi,--,Laredo,147400.0,27.5604,-99.4892,85.1,63.3,"257,156","2,544/sqmi",20.2,88.8,Texas,--,41.3,"https://wikipedia.org/wiki/Laredo,_Texas"
40.4sqmi,54.5,Buffalo,277600.0,42.8925,-78.8597,56.4,40.3,"256,902","6,359/sqmi",40.48,83.5,New York,50.4,67.8,"https://wikipedia.org/wiki/Buffalo,_New_York"
77.0sqmi,72.6,Madison,234700.0,43.0878,-89.4299,56.0,36.9,"252,551","3,280/sqmi",34.48,97.8,Wisconsin,38.3,48.7,"https://wikipedia.org/wiki/Madison,_Wisconsin"
124.6sqmi,46.7,Lubbock,186900.0,33.5656,-101.8867,74.3,47.0,"252,506","2,027/sqmi",19.12,93.4,Texas,21.1,38.0,"https://wikipedia.org/wiki/Lubbock,_Texas"
64.9sqmi,--,Chandler,269200.0,33.2829,-111.8549,66.8,46.1,"247,477","3,813/sqmi",44.57,99.7,Arizona,18.1,34.6,"https://wikipedia.org/wiki/Chandler,_Arizona"
183.9sqmi,--,Scottsdale,392700.0,33.6843,-111.8611,63.6,34.1,"246,645","1,341/sqmi",15.79,91.5,Arizona,23.5,32.4,"https://wikipedia.org/wiki/Scottsdale,_Arizona"
59.1sqmi,51.4,Glendale,198500.0,33.5331,-112.1899,72.8,49.9,"245,895","4,161/sqmi",55.37,99.7,Arizona,29.2,39.9,"https://wikipedia.org/wiki/Glendale,_Arizona"
107.3sqmi,48.1,Reno,392200.0,39.5491,-119.8499,67.6,40.0,"245,255","2,286/sqmi",7.4,99.1,Nevada,27.7,37.6,"https://wikipedia.org/wiki/Reno,_Nevada"
53.3sqmi,--,Norfolk,174400.0,36.9230,-76.2446,69.1,50.7,"245,115","4,599/sqmi",44.31,87.8,Virginia,35.8,45.4,"https://wikipedia.org/wiki/Norfolk,_Virginia"
132.5sqmi,34.3,Winston–Salem,132000.0,36.1027,-80.2610,69.7,49.5,"242,203","1,828/sqmi",46.9,89.4,North Carolina,--,23.0,"https://wikipedia.org/wiki/Winston%E2%80%93Salem,_North_Carolina"
98.0sqmi,42.4,North Las Vegas,195900.0,36.2857,-115.0939,79.6,57.2,"238,702","2,436/sqmi",5.37,100.3,Nevada,30.1,33.2,"https://wikipedia.org/wiki/North_Las_Vegas,_Nevada"
67.0sqmi,--,Irving,212200.0,32.8577,-96.9700,76.6,56.6,"238,289","3,557/sqmi",37.35,91.3,Texas,31.2,43.3,"https://wikipedia.org/wiki/Irving,_Texas"
338.5sqmi,--,Chesapeake,230200.0,36.6794,-76.3018,69.1,50.7,"237,940",703/sqmi,44.31,87.5,Virginia,13,22.1,"https://wikipedia.org/wiki/Chesapeake,_Virginia"
68.0sqmi,57.5,Gilbert,284400.0,33.3103,-111.7431,58.9,32.5,"237,133","3,487/sqmi",13.89,87.8,Arizona,14.5,29.0,"https://wikipedia.org/wiki/Gilbert,_Arizona"
21.5sqmi,--,Hialeah,194400.0,25.8699,-80.3029,58.2,32.7,"236,387","10,995/sqmi",11.22,89.7,Florida,38,69.4,"https://wikipedia.org/wiki/Hialeah,_Florida"
57.0sqmi,39.1,Garland,251500.0,32.9098,-96.6303,82.4,64.2,"234,943","4,122/sqmi",53.17,84.5,Texas,28.8,39.4,"https://wikipedia.org/wiki/Garland,_Texas"
77.5sqmi,61.1,Fremont,900200.0,37.4945,-121.9412,60.8,40.7,"233,136","3,008/sqmi",31.57,90.2,California,36.4,44.2,"https://wikipedia.org/wiki/Fremont,_California"
85.9sqmi,47,Baton Rouge,151600.0,30.4422,-91.1309,79.0,57.9,"227,715","2,651/sqmi",60.65,92.9,Louisiana,--,40.6,"https://wikipedia.org/wiki/Baton_Rouge,_Louisiana"
