GeoFips,GeoName,LineCode,Description,2015
15380,"Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)",4,  RPPs: Services: Other,98.6
15500,"Burlington, NC (Metropolitan Statistical Area)",1,RPPs: All items,90
15500,"Burlington, NC (Metropolitan Statistical Area)",2,  RPPs: Goods,97.4
15500,"Burlington, NC (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,72.6
15500,"Burlington, NC (Metropolitan Statistical Area)",4,  RPPs: Services: Other,93.9
15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",1,RPPs: All items,103.2
15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",2,  RPPs: Goods,98
15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,123.2
15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",4,  RPPs: Services: Other,98.6
15680,"California-Lexington Park, MD (Metropolitan Statistical Area)",1,RPPs: All items,98.7
15680,"California-Lexington Park, MD (Metropolitan Statistical Area)",2,  RPPs: Goods,91.5
15680,"California-Lexington Park, MD (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,116.1
15680,"California-Lexington Park, MD (Metropolitan Statistical Area)",4,  RPPs: Services: Other,93.7
15940,"Canton-Massillon, OH (Metropolitan Statistical Area)",1,RPPs: All items,89
15940,"Canton-Massillon, OH (Metropolitan Statistical Area)",2,  RPPs: Goods,97.7
15940,"Canton-Massillon, OH (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,65.7
15940,"Canton-Massillon, OH (Metropolitan Statistical Area)",4,  RPPs: Services: Other,93.7
15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",1,RPPs: All items,95.4
15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",2,  RPPs: Goods,97.4
15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,93.8
15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",4,  RPPs: Services: Other,93.9
16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",1,RPPs: All items,82.7
16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",2,  RPPs: Goods,92.6
16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,64.3
16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",4,  RPPs: Services: Other,89.6
16060,"Carbondale-Marion, IL (Metropolitan Statistical Area)",1,RPPs: All items,83.9
16060,"Carbondale-Marion, IL (Metropolitan Statistical Area)",2,  RPPs: Goods,92.6
16060,"Carbondale-Marion, IL (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,67
16060,"Carbondale-Marion, IL (Metropolitan Statistical Area)",4,  RPPs: Services: Other,89.6
16180,"Carson City, NV (Metropolitan Statistical Area)",1,RPPs: All items,95.3
16180,"Carson City, NV (Metropolitan Statistical Area)",2,  RPPs: Goods,98.7
16180,"Carson City, NV (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,92.2
16180,"Carson City, NV (Metropolitan Statistical Area)",4,  RPPs: Services: Other,93.8
16220,"Casper, WY (Metropolitan Statistical Area)",1,RPPs: All items,98.1
16220,"Casper, WY (Metropolitan Statistical Area)",2,  RPPs: Goods,96.2
16220,"Casper, WY (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,94.4
16220,"Casper, WY (Metropolitan Statistical Area)",4,  RPPs: Services: Other,102.8
16300,"Cedar Rapids, IA (Metropolitan Statistical Area)",1,RPPs: All items,89.8
16300,"Cedar Rapids, IA (Metropolitan Statistical Area)",2,  RPPs: Goods,97.1
16300,"Cedar Rapids, IA (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,70.6
16300,"Cedar Rapids, IA (Metropolitan Statistical Area)",4,  RPPs: Services: Other,93.2
16540,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",1,RPPs: All items,93.6
16540,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",2,  RPPs: Goods,98
16540,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,78.4
16540,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",4,  RPPs: Services: Other,98.6
16580,"Champaign-Urbana, IL (Metropolitan Statistical Area)",1,RPPs: All items,93.9
16580,"Champaign-Urbana, IL (Metropolitan Statistical Area)",2,  RPPs: Goods,97.2
16580,"Champaign-Urbana, IL (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,88.7
16580,"Champaign-Urbana, IL (Metropolitan Statistical Area)",4,  RPPs: Services: Other,93.3
16620,"Charleston, WV (Metropolitan Statistical Area)",1,RPPs: All items,87.5
16620,"Charleston, WV (Metropolitan Statistical Area)",2,  RPPs: Goods,97
16620,"Charleston, WV (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,61.4
